Episode,Return,Step,
262,-1075,1164,-0.923539519
263,-1411,1432,-0.985335196
264,-1139,1035,-1.100483092
265,-899,838,-1.072792363
266,-556,616,-0.902597403
267,-791,775,-1.020645161
268,-1403,1277,-1.098668755
269,-781,765,-1.020915033
270,-774,711,-1.088607595
271,-637,682,-0.934017595
272,-640,677,-0.94534712
273,-527,591,-0.891708968
274,-1062,1016,-1.045275591
275,-912,871,-1.047072331
276,-1487,1244,-1.195337621
277,-1397,1220,-1.145081967
278,-1987,1580,-1.257594937
279,-874,844,-1.035545024
280,-1358,1208,-1.124172185
281,-404,512,-0.7890625
282,-616,637,-0.967032967
283,-572,620,-0.922580645
284,-1460,1278,-1.142410016
285,-759,761,-0.997371879
286,-1334,1212,-1.100660066
287,-799,788,-1.013959391
288,-1249,1168,-1.069349315
289,-1308,1307,-1.000765111
290,-926,886,-1.045146727
291,-2703,2318,-1.166091458
292,-555,641,-0.865834633
293,-1206,1068,-1.129213483
294,-790,788,-1.002538071
295,-1506,1223,-1.231398201
296,-858,889,-0.965129359
297,-927,856,-1.082943925
298,-1344,1174,-1.144804089
299,-470,553,-0.849909584
300,-1536,1504,-1.021276596
301,-1430,1180,-1.211864407
302,-1429,1230,-1.161788618
303,-583,655,-0.890076336
304,-841,807,-1.042131351
305,-616,697,-0.883787661
306,-671,719,-0.933240612
307,-2109,1815,-1.161983471
308,-616,624,-0.987179487
309,-1229,1120,-1.097321429
310,-1052,991,-1.061553986
311,-585,622,-0.940514469
312,-939,955,-0.983246073
313,-2776,2220,-1.25045045
314,-1264,1159,-1.090595341
315,-979,919,-1.065288357
316,-814,774,-1.051679587
317,-436,495,-0.880808081
318,-399,499,-0.799599198
319,-1524,1352,-1.127218935
320,-1221,1067,-1.144329897
321,-705,781,-0.90268886
322,-352,469,-0.750533049
323,-444,538,-0.82527881
324,-2289,1869,-1.224719101
325,-1709,1616,-1.057549505
326,-749,828,-0.904589372
327,-497,624,-0.796474359
328,-1011,935,-1.081283422
329,-804,802,-1.002493766
330,-509,600,-0.848333333
331,-1351,1213,-1.113767519
332,-1618,1371,-1.180160467
333,-550,600,-0.916666667
334,-536,616,-0.87012987
335,-503,586,-0.858361775
336,-1258,1216,-1.034539474
337,-1400,1284,-1.090342679
338,-692,670,-1.032835821
339,-881,939,-0.938232162
340,-632,703,-0.899004267
341,-709,796,-0.890703518
342,-296,398,-0.743718593
343,-440,556,-0.791366906
344,-482,577,-0.835355286
345,-2225,1849,-1.203353164
346,-1825,1568,-1.163903061
347,-232,355,-0.653521127
348,-747,790,-0.94556962
349,-780,838,-0.930787589
350,-254,376,-0.675531915
351,-656,692,-0.947976879
352,-1440,1223,-1.177432543
353,-537,587,-0.914821124
354,-1086,967,-1.123061013
355,-249,384,-0.6484375
356,-1787,1512,-1.181878307
357,-219,330,-0.663636364
358,-658,745,-0.883221477
359,-361,445,-0.811235955
360,-1334,1232,-1.082792208
361,-598,677,-0.883308715
362,-904,973,-0.929085303
363,-981,939,-1.044728435
364,-877,860,-1.019767442
365,-514,639,-0.804381847
366,-248,368,-0.673913043
367,-1969,1610,-1.222981366
368,-901,874,-1.030892449
369,-938,1008,-0.930555556
370,-1806,1525,-1.184262295
371,-609,678,-0.898230088
372,-1069,961,-1.112382934
373,-736,721,-1.020804438
374,-2434,2016,-1.20734127
375,-1069,1011,-1.057368942
376,-2631,2150,-1.22372093
377,-550,631,-0.87163233
378,-1784,1496,-1.192513369
379,-727,768,-0.946614583
380,-453,565,-0.801769912
381,-329,459,-0.716775599
382,-479,526,-0.910646388
383,-1384,1233,-1.122465531
384,-1394,1251,-1.114308553
385,-898,932,-0.963519313
386,-830,889,-0.933633296
387,-488,559,-0.872987478
388,-720,773,-0.931435964
389,-566,692,-0.817919075
390,-2266,1928,-1.175311203
391,-415,511,-0.812133072
392,-1071,980,-1.092857143
393,-835,807,-1.034696406
394,-153,292,-0.523972603
395,-658,716,-0.918994413
396,-1284,1143,-1.12335958
397,-254,370,-0.686486486
398,-647,733,-0.882673943
399,-639,675,-0.946666667
400,-2812,2374,-1.184498736
401,-877,854,-1.026932084
402,-290,439,-0.660592255
403,-1221,1144,-1.067307692
404,-567,619,-0.915993538
405,-1363,1230,-1.108130081
406,-399,495,-0.806060606
407,-1078,1043,-1.033557047
408,-184,332,-0.554216867
409,-1388,1243,-1.116653258
410,-2152,1826,-1.178532311
411,-132,271,-0.487084871
412,-475,565,-0.840707965
413,-920,917,-1.003271538
414,-919,881,-1.043132804
415,-474,553,-0.857142857
416,-1457,1319,-1.104624716
417,-700,761,-0.919842313
418,-1926,1590,-1.211320755
419,-538,603,-0.892205638
420,-515,580,-0.887931034
421,-674,781,-0.862996159
422,-44,207,-0.212560386
423,-422,527,-0.800759013
424,-620,608,-1.019736842
425,-533,641,-0.831513261
426,-558,642,-0.869158879
427,-1294,1190,-1.087394958
428,-383,458,-0.836244541
429,-258,397,-0.649874055
430,-174,341,-0.51026393
431,-432,507,-0.852071006
432,-3238,2650,-1.221886792
433,-1443,1285,-1.122957198
434,-1119,1023,-1.093841642
435,-1439,1343,-1.071481757
436,-564,616,-0.915584416
437,-778,768,-1.013020833
438,-1808,1555,-1.162700965
439,-1294,1211,-1.068538398
440,-259,385,-0.672727273
441,-907,890,-1.019101124
442,-1461,1326,-1.101809955
443,-1262,1174,-1.074957411
444,-506,570,-0.887719298
445,-382,506,-0.754940711
446,-1379,1234,-1.117504052
447,-630,656,-0.960365854
448,-153,291,-0.525773196
449,-337,442,-0.762443439
450,-1077,993,-1.084592145
451,-2920,2376,-1.228956229
452,-318,424,-0.75
453,-214,354,-0.604519774
454,-792,819,-0.967032967
455,-334,438,-0.762557078
456,-857,843,-1.016607355
457,-1940,1662,-1.167268351
458,-1123,1061,-1.058435438
459,-542,636,-0.852201258
460,-601,676,-0.889053254
461,-734,755,-0.97218543
462,-1008,977,-1.031729785
463,-364,483,-0.753623188
464,-671,702,-0.955840456
465,-353,468,-0.754273504
466,-854,836,-1.0215311
467,-2041,1757,-1.161639158
468,-583,675,-0.863703704
469,-724,742,-0.97574124
470,-481,547,-0.879341865
471,-133,301,-0.441860465
472,-1533,1380,-1.110869565
473,-990,948,-1.044303797
474,-1640,1450,-1.131034483
475,-993,989,-1.004044489
476,-740,758,-0.976253298
477,-393,483,-0.813664596
478,-274,389,-0.70437018
479,-793,861,-0.921022067
480,-397,505,-0.786138614
481,-293,442,-0.662895928
482,-461,579,-0.796200345
