,Episode,Return,Step
479,479,-801.2059194102396,813.9465887120874
480,480,-760.7853274692156,783.0519298408786
481,481,-714.0067947222941,748.9467368567907
482,482,-688.7061152500647,731.9520631711116
483,483,-693.7355037250583,733.7568568540005
484,484,-667.6619533525524,712.4811711686004
485,485,-865.3957580172971,865.4330540517403
486,486,-789.0561822155674,804.7897486465663
487,487,-834.2505639940107,840.5107737819096
488,488,-783.8255075946097,800.5596964037187
489,489,-911.0429568351487,904.9037267633469
490,490,-848.538661151634,857.9133540870122
491,491,-938.5847950364706,928.7220186783109
492,492,-956.6263155328236,941.5498168104797
493,493,-915.6636839795412,906.0948351294317
494,494,-889.3973155815871,881.2853516164885
495,495,-860.9575840234285,862.5568164548396
496,496,-892.3618256210856,884.1011348093556
497,497,-1048.9256430589771,998.2910213284199
498,498,-971.4330787530794,935.8619191955779
499,499,-976.9897708777714,940.2757272760201
500,500,-929.0907937899942,904.8481545484182
501,501,-1017.8817144109947,976.9633390935762
502,502,-959.9935429698952,930.9670051842186
503,503,-978.7941886729056,946.5703046657967
504,504,-1063.214769805615,1007.9132741992171
505,505,-1319.9932928250537,1208.1219467792953
506,506,-1295.2939635425482,1189.4097521013657
507,507,-1180.4645671882936,1097.9687768912293
508,508,-1190.1181104694642,1103.7718992021064
509,509,-1077.1062994225178,1016.0947092818958
510,510,-1011.695669480266,964.9852383537062
511,511,-941.0261025322394,909.5867145183356
512,512,-985.3234922790155,942.328043066502
513,513,-915.5911430511139,889.8952387598517
514,514,-952.6320287460026,920.6057148838665
515,515,-978.7688258714023,944.2451433954799
516,516,-931.591943284262,905.8206290559319
517,517,-853.6327489558358,844.1385661503388
518,518,-782.2694740602523,787.1247095353049
519,519,-820.142526654227,816.8122385817744
520,520,-771.3282739888044,778.331014723597
521,521,-738.295446589924,752.9979132512374
522,522,-684.4659019309316,709.9981219261136
523,523,-812.4193117378385,811.4983097335023
524,524,-876.6773805640546,866.6484787601521
525,525,-1029.409642507649,987.6836308841368
526,526,-1009.2686782568842,969.9152677957231
527,527,-958.5418104311957,928.5237410161509
528,528,-917.7876293880762,896.7713669145359
529,529,-869.1088664492686,861.2942302230822
530,530,-884.3979798043417,874.564807200774
531,531,-1008.7581818239075,973.9083264806966
532,532,-1069.6823636415168,1018.1174938326269
533,533,-973.6141272773651,940.8057444493643
534,534,-873.9527145496287,861.5251700044279
535,535,-832.9574430946658,833.0726530039851
536,536,-769.1616987851992,781.6653877035866
537,537,-701.3455289066793,728.5988489332279
